PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FTM,FTA,REB,BLK,DD2
Andre Drummond,DET,8,263,100,43,84,14,20,113,8,5
Andre Drummond,DET,12,400,186,71,124,44,72,190,15,9
Andre Drummond,DET,15,482,213,82,158,49,79,227,20,11
Andre Drummond,DET,12,414,198,81,139,36,60,188,23,9
Andre Drummond,DET,12,404,196,79,161,38,58,212,26,12
Andre Drummond,DET,15,517,221,86,172,49,85,254,32,12
Andre Drummond,DET,4,146,57,24,43,9,21,63,3,4
DeMarcus Cousins,NOP,7,260,206,70,143,49,64,95,15,7
DeMarcus Cousins,NOP,14,485,321,112,251,68,90,167,18,9
DeMarcus Cousins,NOP,15,531,416,141,281,100,136,189,21,11
DeMarcus Cousins,NOP,12,460,267,83,189,77,104,166,22,11
DeMarcus Cousins,NOP,0,0,0,0,0,0,0,0,0,0
DeMarcus Cousins,NOP,0,0,0,0,0,0,0,0,0,0
DeMarcus Cousins,NOP,0,0,0,0,0,0,0,0,0,0
Dwight Howard,CHA,7,217,96,38,69,20,56,104,12,4
Dwight Howard,CHA,13,377,215,78,131,59,111,150,11,8
Dwight Howard,CHA,16,485,249,88,185,73,109,189,21,8
Dwight Howard,CHA,14,469,238,89,155,60,107,193,41,12
Dwight Howard,CHA,12,350,188,81,139,26,47,133,18,6
Dwight Howard,CHA,14,427,288,106,185,75,118,170,20,10
Dwight Howard,CHA,5,137,73,26,47,21,34,73,8,5
Joel Embiid,PHI,6,162,125,47,90,26,32,60,6,2
Joel Embiid,PHI,12,370,288,101,210,78,105,144,26,9
Joel Embiid,PHI,9,314,232,74,157,72,83,91,21,4
Joel Embiid,PHI,11,356,259,92,184,64,83,122,16,8
Joel Embiid,PHI,10,302,244,91,181,46,64,117,17,8
Joel Embiid,PHI,15,408,297,105,234,73,100,156,25,7
Joel Embiid,PHI,0,0,0,0,0,0,0,0,0,0
Jusuf Nurkic,POR,7,182,88,32,80,24,32,54,6,2
Jusuf Nurkic,POR,15,438,252,107,222,38,64,119,21,4
Jusuf Nurkic,POR,10,249,124,48,113,28,43,71,14,1
Jusuf Nurkic,POR,16,406,218,91,175,36,51,152,19,5
Jusuf Nurkic,POR,10,260,137,61,113,15,24,86,15,3
Jusuf Nurkic,POR,15,379,229,102,177,25,44,154,28,8
Jusuf Nurkic,POR,6,173,84,39,71,6,15,72,8,4
Karl-Anthony Towns,MIN,7,244,169,65,112,30,34,83,14,6
Karl-Anthony Towns,MIN,15,511,280,104,209,52,61,174,14,12
Karl-Anthony Towns,MIN,15,571,303,109,202,58,74,170,32,11
Karl-Anthony Towns,MIN,17,579,317,120,216,56,64,229,20,16
Karl-Anthony Towns,MIN,10,347,230,79,136,57,61,128,14,9
Karl-Anthony Towns,MIN,13,482,334,117,222,75,90,165,17,10
Karl-Anthony Towns,MIN,5,184,110,45,75,17,18,63,4,4
Kevin Love,CLE,7,206,134,40,94,40,45,78,3,6
Kevin Love,CLE,15,445,283,91,190,75,84,148,7,8
Kevin Love,CLE,13,386,289,98,202,50,58,131,4,8
Kevin Love,CLE,13,306,151,49,115,31,35,92,6,5
Kevin Love,CLE,0,0,0,0,0,0,0,0,0,0
Kevin Love,CLE,6,148,90,29,70,19,21,49,2,2
Kevin Love,CLE,5,161,92,27,58,19,23,48,2,2
Marc Gasol,MEM,7,239,141,44,103,41,50,68,14,4
Marc Gasol,MEM,13,448,231,85,207,44,51,110,18,6
Marc Gasol,MEM,17,592,314,107,254,75,92,137,25,5
Marc Gasol,MEM,12,398,195,68,158,42,47,102,16,5
Marc Gasol,MEM,9,288,148,49,132,40,47,74,14,2
Marc Gasol,MEM,12,368,202,70,154,38,49,85,12,3
Marc Gasol,MEM,3,75,27,11,25,1,1,16,2,0
Nikola Jokic,DEN,7,225,121,46,86,17,19,79,2,3
Nikola Jokic,DEN,14,393,204,77,155,34,40,144,11,8
Nikola Jokic,DEN,8,261,147,52,106,35,39,73,9,2
Nikola Jokic,DEN,15,508,241,86,207,52,66,162,10,7
Nikola Jokic,DEN,10,312,218,74,133,52,60,113,9,6
Nikola Jokic,DEN,15,507,300,110,208,53,62,158,13,7
Nikola Jokic,DEN,6,236,154,59,114,23,27,74,7,5
Nikola Vucevic,ORL,7,214,145,61,110,10,14,60,10,3
Nikola Vucevic,ORL,15,441,217,90,203,16,20,124,10,7
Nikola Vucevic,ORL,12,363,228,97,192,20,22,131,18,8
Nikola Vucevic,ORL,0,0,0,0,0,0,0,0,0,0
Nikola Vucevic,ORL,4,116,63,27,50,3,5,28,6,0
Nikola Vucevic,ORL,14,434,236,103,228,20,24,133,11,8
Nikola Vucevic,ORL,5,116,50,21,57,8,9,47,7,3
