PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FTM,FTA,REB,AST,BLK
Aaron Gordon,ORL,5,151,105,39,71,14,19,45,12,5
Aaron Gordon,ORL,15,506,266,91,184,51,66,122,31,13
Aaron Gordon,ORL,15,506,266,91,184,51,66,122,31,13
Aaron Gordon,ORL,11,393,190,74,209,27,43,103,24,2
Aaron Gordon,ORL,4,120,58,22,55,6,11,29,16,6
Aaron Gordon,ORL,9,303,170,62,147,28,40,79,24,8
Aaron Gordon,ORL,6,161,76,30,79,6,11,24,12,4
Anthony Davis,NOP,6,202,166,58,106,43,53,75,12,12
Anthony Davis,NOP,14,499,345,126,217,86,109,145,42,23
Anthony Davis,NOP,14,499,345,126,217,86,109,145,42,23
Anthony Davis,NOP,13,508,361,131,254,93,109,151,41,30
Anthony Davis,NOP,11,416,385,144,284,84,101,143,17,24
Anthony Davis,NOP,14,493,393,155,290,72,80,154,28,52
Anthony Davis,NOP,6,216,170,59,117,49,64,67,15,21
Carmelo Anthony,OKC,7,233,160,59,127,25,31,31,11,8
Carmelo Anthony,OKC,12,383,214,74,191,37,46,87,19,6
Carmelo Anthony,OKC,12,383,214,74,191,37,46,87,19,6
Carmelo Anthony,OKC,14,443,253,96,224,30,38,82,17,10
Carmelo Anthony,OKC,10,309,134,54,148,6,8,58,5,6
Carmelo Anthony,OKC,13,407,173,64,165,12,17,70,16,10
Carmelo Anthony,OKC,5,153,71,25,67,12,15,28,8,2
Dario Saric,PHI,14,425,181,66,154,25,30,104,27,7
Dario Saric,PHI,14,425,181,66,154,25,30,104,27,7
Dario Saric,PHI,12,361,185,59,136,44,46,82,31,3
Dario Saric,PHI,11,352,188,65,139,32,37,77,31,1
Dario Saric,PHI,16,444,255,87,176,42,52,104,38,4
Dario Saric,PHI,4,81,36,15,38,1,3,13,9,0
Dario Saric,PHI,7,168,54,21,59,3,5,30,11,2
Derrick Favors,UTA,7,193,88,40,74,7,12,36,14,2
Derrick Favors,UTA,15,421,199,80,140,36,46,108,24,20
Derrick Favors,UTA,15,421,199,80,140,36,46,108,24,20
Derrick Favors,UTA,12,354,139,60,112,19,32,106,15,16
Derrick Favors,UTA,11,315,131,54,99,21,33,90,9,8
Derrick Favors,UTA,13,349,151,65,103,16,34,83,21,19
Derrick Favors,UTA,6,170,83,36,64,9,14,42,5,8
Giannis Antetokounmpo,MIL,7,262,236,91,144,48,62,72,37,7
Giannis Antetokounmpo,MIL,12,445,318,119,240,77,103,120,48,27
Giannis Antetokounmpo,MIL,12,445,318,119,240,77,103,120,48,27
Giannis Antetokounmpo,MIL,13,457,351,121,220,101,134,132,66,14
Giannis Antetokounmpo,MIL,12,441,271,106,222,53,78,118,64,21
Giannis Antetokounmpo,MIL,14,513,385,140,259,92,119,128,62,25
Giannis Antetokounmpo,MIL,4,127,76,30,70,15,19,43,22,3
Julius Randle,LAL,7,134,80,31,49,17,26,37,12,7
Julius Randle,LAL,14,332,182,70,133,39,57,102,24,11
Julius Randle,LAL,14,332,182,70,133,39,57,102,24,11
Julius Randle,LAL,15,388,230,86,158,57,69,135,38,4
Julius Randle,LAL,10,319,194,83,141,27,44,90,43,7
Julius Randle,LAL,15,522,335,121,213,92,121,148,39,6
Julius Randle,LAL,7,175,103,34,69,35,44,51,24,1
Kristaps Porzingis,NYK,6,204,176,65,136,34,42,50,5,10
Kristaps Porzingis,NYK,13,394,314,106,230,77,90,79,16,30
Kristaps Porzingis,NYK,13,394,314,106,230,77,90,79,16,30
Kristaps Porzingis,NYK,15,510,305,109,262,55,75,99,19,38
Kristaps Porzingis,NYK,3,79,49,19,40,7,13,17,0,10
Kristaps Porzingis,NYK,0,0,0,0,0,0,0,0,0,0
Kristaps Porzingis,NYK,0,0,0,0,0,0,0,0,0,0
LaMarcus Aldridge,SAS,7,238,165,64,129,33,42,59,13,9
LaMarcus Aldridge,SAS,14,461,320,125,234,62,72,113,35,18
LaMarcus Aldridge,SAS,14,461,320,125,234,62,72,113,35,18
LaMarcus Aldridge,SAS,14,497,328,132,267,59,71,122,24,18
LaMarcus Aldridge,SAS,7,212,163,65,113,32,39,45,20,7
LaMarcus Aldridge,SAS,12,384,313,123,229,65,80,108,26,15
LaMarcus Aldridge,SAS,6,210,140,60,113,20,22,59,10,9
Lauri Markkanen,CHI,0,0,0,0,0,0,0,0,0,0
Lauri Markkanen,CHI,15,452,213,75,196,30,37,116,27,9
Lauri Markkanen,CHI,15,452,213,75,196,30,37,116,27,9
Lauri Markkanen,CHI,14,445,239,86,180,29,32,118,21,11
Lauri Markkanen,CHI,8,252,95,39,100,11,13,57,3,6
Lauri Markkanen,CHI,5,120,97,32,63,15,21,32,6,2
Lauri Markkanen,CHI,8,230,120,44,96,20,22,56,7,4
